Family,File,dial,dijkstra,radixheap
Long-C,Long-C.0.0.gr,129.41,281.81,135.71
Long-C,Long-C.1.0.gr,127.01,243.13,159.74
Long-C,Long-C.10.0.gr,59999.86,230.81,310.57
Long-C,Long-C.11.0.gr,,233.19,314.0
Long-C,Long-C.12.0.gr,,231.0,317.62
Long-C,Long-C.13.0.gr,,229.09,315.1
Long-C,Long-C.14.0.gr,,225.76,320.89
Long-C,Long-C.15.0.gr,,253.69,322.99
Long-C,Long-C.2.0.gr,138.93,231.82,210.53
Long-C,Long-C.3.0.gr,142.14,247.26,243.77
Long-C,Long-C.4.0.gr,178.93,224.98,288.44
Long-C,Long-C.5.0.gr,225.91,236.89,302.6
Long-C,Long-C.6.0.gr,461.45,228.1,305.57
Long-C,Long-C.7.0.gr,1108.7,232.65,307.77
Long-C,Long-C.8.0.gr,5202.13,218.3,301.19
Long-C,Long-C.9.0.gr,15097.52,229.84,308.97
Long-n,Long-n.10.0.gr,0.28,0.21,0.2
Long-n,Long-n.11.0.gr,0.54,0.22,0.46
Long-n,Long-n.12.0.gr,1.62,0.43,0.76
Long-n,Long-n.13.0.gr,5.66,0.92,1.5
Long-n,Long-n.14.0.gr,16.29,2.57,3.16
Long-n,Long-n.15.0.gr,78.14,4.22,6.99
Long-n,Long-n.16.0.gr,348.4,8.65,12.77
Long-n,Long-n.17.0.gr,791.96,18.77,29.43
Long-n,Long-n.18.0.gr,3542.61,43.12,63.31
Long-n,Long-n.19.0.gr,22838.67,98.74,139.88
Long-n,Long-n.20.0.gr,59403.43,232.67,314.76
Long-n,Long-n.21.0.gr,,495.26,655.82
Random4-C,Random4-C.0.0.gr,208.68,451.51,250.89
Random4-C,Random4-C.1.0.gr,200.1,506.2,260.06
Random4-C,Random4-C.10.0.gr,545.06,530.77,479.39
Random4-C,Random4-C.11.0.gr,808.87,503.99,494.0
Random4-C,Random4-C.12.0.gr,1505.98,503.35,500.49
Random4-C,Random4-C.13.0.gr,3821.15,503.56,512.01
Random4-C,Random4-C.14.0.gr,13843.16,502.48,518.94
Random4-C,Random4-C.15.0.gr,,505.21,520.69
Random4-C,Random4-C.2.0.gr,201.49,558.48,235.56
Random4-C,Random4-C.3.0.gr,189.64,534.53,233.54
Random4-C,Random4-C.4.0.gr,199.19,527.11,249.43
Random4-C,Random4-C.5.0.gr,197.01,536.45,249.4
Random4-C,Random4-C.6.0.gr,212.24,564.22,262.42
Random4-C,Random4-C.7.0.gr,238.17,551.68,289.69
Random4-C,Random4-C.8.0.gr,313.42,523.43,327.71
Random4-C,Random4-C.9.0.gr,423.74,533.15,414.53
Random4-n,Random4-n.10.0.gr,0.16,0.17,0.22
Random4-n,Random4-n.11.0.gr,0.31,0.39,0.4
Random4-n,Random4-n.12.0.gr,0.7,0.74,0.81
Random4-n,Random4-n.13.0.gr,1.45,1.63,1.81
Random4-n,Random4-n.14.0.gr,3.16,3.62,3.4
Random4-n,Random4-n.15.0.gr,6.86,7.27,7.67
Random4-n,Random4-n.16.0.gr,22.97,17.22,21.1
Random4-n,Random4-n.17.0.gr,48.94,46.34,43.68
Random4-n,Random4-n.18.0.gr,116.0,99.46,99.8
Random4-n,Random4-n.19.0.gr,253.13,242.38,218.93
Random4-n,Random4-n.20.0.gr,623.65,572.21,488.84
Random4-n,Random4-n.21.0.gr,1189.28,1128.22,1005.86
Square-C,Square-C.0.0.gr,144.78,388.82,165.33
Square-C,Square-C.1.0.gr,144.4,329.26,151.27
Square-C,Square-C.10.0.gr,2208.86,329.89,377.21
Square-C,Square-C.11.0.gr,7786.58,304.12,378.43
Square-C,Square-C.12.0.gr,32283.81,303.37,365.87
Square-C,Square-C.13.0.gr,107322.06,308.95,363.92
Square-C,Square-C.14.0.gr,,300.98,374.6
Square-C,Square-C.15.0.gr,,338.62,401.89
Square-C,Square-C.2.0.gr,159.34,344.01,175.14
Square-C,Square-C.3.0.gr,152.83,356.0,168.34
Square-C,Square-C.4.0.gr,146.45,318.73,181.34
Square-C,Square-C.5.0.gr,162.41,348.61,229.27
Square-C,Square-C.6.0.gr,178.35,318.61,287.37
Square-C,Square-C.7.0.gr,240.52,333.73,366.84
Square-C,Square-C.8.0.gr,367.4,316.12,378.53
Square-C,Square-C.9.0.gr,733.66,327.89,380.33
Square-n,Square-n.10.0.gr,0.23,0.14,0.35
Square-n,Square-n.11.0.gr,0.43,0.26,0.46
Square-n,Square-n.12.0.gr,0.99,0.47,0.79
Square-n,Square-n.13.0.gr,2.48,1.3,2.08
Square-n,Square-n.14.0.gr,5.83,2.26,3.07
Square-n,Square-n.15.0.gr,16.42,4.83,7.04
Square-n,Square-n.16.0.gr,40.83,10.76,14.34
Square-n,Square-n.17.0.gr,101.63,24.52,32.24
Square-n,Square-n.18.0.gr,238.91,66.66,79.3
Square-n,Square-n.19.0.gr,751.03,148.72,169.68
Square-n,Square-n.20.0.gr,2018.39,328.01,383.27
Square-n,Square-n.21.0.gr,7011.17,691.95,790.57
USA-road-d,USA-road-d.BAY.gr,54.84,44.53,58.2
USA-road-d,USA-road-d.CAL.gr,340.27,289.94,366.62
USA-road-d,USA-road-d.COL.gr,92.82,60.09,80.69
USA-road-d,USA-road-d.E.gr,539.87,637.23,714.3
USA-road-d,USA-road-d.FLA.gr,198.39,140.67,187.85
USA-road-d,USA-road-d.LKS.gr,472.01,406.59,506.22
USA-road-d,USA-road-d.NE.gr,212.05,245.49,272.48
USA-road-d,USA-road-d.NW.gr,196.9,174.9,212.81
USA-road-d,USA-road-d.NY.gr,36.3,37.25,47.33
